Worklinks,Work,Creatorlink,Creator,Sourcework link,Sourcework,Countrylink,Country,Languagelink,Language,date,Latitude,Longitude
http://www.wikidata.org/entity/Q118405167,Anyone but You,http://www.wikidata.org/entity/Q2576503,Q2576503,http://www.wikidata.org/entity/Q130851,Much Ado About Nothing,http://www.wikidata.org/entity/Q408,Australia,,,2024-01-18T00:00:00Z,-25,133
http://www.wikidata.org/entity/Q118405167,Anyone but You,http://www.wikidata.org/entity/Q2576503,Q2576503,http://www.wikidata.org/entity/Q130851,Much Ado About Nothing,http://www.wikidata.org/entity/Q408,Australia,,,2024-01-19T00:00:00Z,-25,133
http://www.wikidata.org/entity/Q54801155,The King,http://www.wikidata.org/entity/Q3018459,David Mich么d,http://www.wikidata.org/entity/Q495954,Henry V,http://www.wikidata.org/entity/Q408,Australia,,,2019-11-01T00:00:00Z,-25,133
http://www.wikidata.org/entity/Q59238929,Ryan North's To Be or Not to Be,,,http://www.wikidata.org/entity/Q41567,Hamlet,http://www.wikidata.org/entity/Q30,United States,http://www.wikidata.org/entity/Q7976,American English,2015-01-28T00:00:00Z,39.828175,-98.5795
http://www.wikidata.org/entity/Q54801155,The King,http://www.wikidata.org/entity/Q3018459,David Mich么d,http://www.wikidata.org/entity/Q1232349,"Henry IV, Part 2",http://www.wikidata.org/entity/Q408,Australia,,,2019-10-17T00:00:00Z,-25,133
http://www.wikidata.org/entity/Q133457422,Antony and Cleopatra,,,http://www.wikidata.org/entity/Q606830,Antony and Cleopatra,http://www.wikidata.org/entity/Q16,Canada,,,,56,-109
http://www.wikidata.org/entity/Q54801155,The King,http://www.wikidata.org/entity/Q381768,Joel Edgerton,http://www.wikidata.org/entity/Q495954,Henry V,http://www.wikidata.org/entity/Q408,Australia,,,2019-10-17T00:00:00Z,-25,133
http://www.wikidata.org/entity/Q125354374,Jie da huan xi,,,http://www.wikidata.org/entity/Q237572,As You Like It,http://www.wikidata.org/entity/Q865,Taiwan,,,2021-01-01T00:00:00Z,24,121
http://www.wikidata.org/entity/Q59238929,Ryan North's To Be or Not to Be,,,http://www.wikidata.org/entity/Q41567,Hamlet,http://www.wikidata.org/entity/Q30,United States,http://www.wikidata.org/entity/Q7976,American English,2022-01-12T00:00:00Z,39.828175,-98.5795
http://www.wikidata.org/entity/Q54800666,The Klingon Hamlet,http://www.wikidata.org/entity/Q6504358,Lawrence M. Schoen,http://www.wikidata.org/entity/Q41567,Hamlet,http://www.wikidata.org/entity/Q30,United States,http://www.wikidata.org/entity/Q1860,English,2000-01-01T00:00:00Z,39.828175,-98.5795
http://www.wikidata.org/entity/Q59238929,Ryan North's To Be or Not to Be,,,http://www.wikidata.org/entity/Q41567,Hamlet,http://www.wikidata.org/entity/Q30,United States,http://www.wikidata.org/entity/Q7976,American English,2015-02-04T00:00:00Z,39.828175,-98.5795
http://www.wikidata.org/entity/Q54801155,The King,http://www.wikidata.org/entity/Q381768,Joel Edgerton,http://www.wikidata.org/entity/Q1232349,"Henry IV, Part 2",http://www.wikidata.org/entity/Q408,Australia,,,2019-10-03T00:00:00Z,-25,133
